Ref Year,Black,Hispanic,White,Other,Missing/Unknown
2017,4979,165,2034,60,198
2018,4017,183,1599,57,251
2019,3183,115,1239,42,237
2020,1955,69,679,45,153
2021,2213,153,638,36,228
2022,2421,65,678,37,472
